Datetime,Stage,Flow,Trend,Status
2019-02-25 14:00:00,19.6,13450,,Normal
2019-02-25 15:00:00,19.9,14189,+,Normal
2019-02-25 16:00:00,20.1,14952,+,Normal
2019-02-25 17:00:00,20.4,15612,+,Normal
2019-02-25 18:00:00,20.6,16201,+,Normal
2019-02-25 19:00:00,20.8,16854,+,Normal
2019-02-25 20:00:00,21.1,17627,+,Normal
2019-02-25 21:00:00,21.5,18829,+,Normal
2019-02-25 22:00:00,22.0,20570,+,Normal
2019-02-25 23:00:00,22.6,22343,+,Normal
2019-02-26 00:00:00,23.1,24020,+,Normal
2019-02-26 01:00:00,23.5,25512,+,Normal
2019-02-26 02:00:00,23.8,26778,+,Normal
2019-02-26 03:00:00,24.1,27909,+,Normal
2019-02-26 04:00:00,24.4,28949,+,Normal
2019-02-26 05:00:00,24.6,29734,+,Normal
2019-02-26 06:00:00,24.7,30431,+,Normal
2019-02-26 07:00:00,24.9,31042,+,Normal
2019-02-26 08:00:00,25.0,31449,+,Normal
2019-02-26 09:00:00,25.0,31716,+,Normal
2019-02-26 10:00:00,25.1,31886,+,Normal
2019-02-26 11:00:00,25.1,32021,+,Normal
2019-02-26 12:00:00,25.1,32081,+,Normal
2019-02-26 13:00:00,25.1,32047,-,Normal
2019-02-26 14:00:00,25.1,31945,-,Normal
2019-02-26 15:00:00,25.1,31815,-,Normal
2019-02-26 16:00:00,25.0,31679,-,Normal
2019-02-26 17:00:00,25.0,31689,+,Normal
2019-02-26 18:00:00,25.0,31713,+,Normal
2019-02-26 19:00:00,25.0,31775,+,Normal
2019-02-26 20:00:00,25.1,31901,+,Normal
2019-02-26 21:00:00,25.1,32098,+,Normal
2019-02-26 22:00:00,25.2,32377,+,Normal
2019-02-26 23:00:00,25.3,32843,+,Normal
2019-02-27 00:00:00,25.5,33579,+,Normal
2019-02-27 01:00:00,25.7,34593,+,Normal
2019-02-27 02:00:00,26.0,35828,+,Normal
2019-02-27 03:00:00,26.3,37338,+,Normal
2019-02-27 04:00:00,26.6,38811,+,Normal
2019-02-27 05:00:00,27.0,40225,+,Normal
2019-02-27 06:00:00,27.3,41482,+,Normal
2019-02-27 07:00:00,27.5,42545,+,Normal
2019-02-27 08:00:00,27.7,43555,+,Normal
2019-02-27 09:00:00,27.9,44380,+,Normal
2019-02-27 10:00:00,28.1,45098,+,Normal
2019-02-27 11:00:00,28.2,45571,+,Normal
2019-02-27 12:00:00,28.3,45909,+,Normal
2019-02-27 13:00:00,28.3,46169,+,Normal
2019-02-27 14:00:00,28.4,46353,+,Normal
2019-02-27 15:00:00,28.4,46497,+,Normal
2019-02-27 16:00:00,28.4,46584,+,Normal
2019-02-27 17:00:00,28.4,46573,-,Normal
2019-02-27 18:00:00,28.4,46506,-,Normal
2019-02-27 19:00:00,28.4,46410,-,Normal
2019-02-27 20:00:00,28.4,46296,-,Normal
2019-02-27 21:00:00,28.3,46146,-,Normal
2019-02-27 22:00:00,28.3,45934,-,Normal
2019-02-27 23:00:00,28.2,45679,-,Normal
2019-02-28 00:00:00,28.2,45404,-,Normal
2019-02-28 01:00:00,28.1,45133,-,Normal
2019-02-28 02:00:00,28.0,44825,-,Normal
2019-02-28 03:00:00,28.0,44517,-,Normal
2019-02-28 04:00:00,27.9,44175,-,Normal
2019-02-28 05:00:00,27.8,43716,-,Normal
2019-02-28 06:00:00,27.7,43194,-,Normal
2019-02-28 07:00:00,27.5,42643,-,Normal
2019-02-28 08:00:00,27.4,42086,-,Normal
2019-02-28 09:00:00,27.3,41548,-,Normal
2019-02-28 10:00:00,27.1,41000,-,Normal
2019-02-28 11:00:00,27.0,40372,-,Normal
2019-02-28 12:00:00,26.8,39713,-,Normal
2019-02-28 13:00:00,26.7,39048,-,Normal
2019-02-28 14:00:00,26.5,38385,-,Normal
2019-02-28 15:00:00,26.4,37753,-,Normal
2019-02-28 16:00:00,26.3,37115,-,Normal
2019-02-28 17:00:00,26.1,36453,-,Normal
2019-02-28 18:00:00,26.0,35782,-,Normal
2019-02-28 19:00:00,25.8,35105,-,Normal
2019-02-28 20:00:00,25.7,34445,-,Normal
2019-02-28 21:00:00,25.5,33808,-,Normal
2019-02-28 22:00:00,25.4,33154,-,Normal
2019-02-28 23:00:00,25.2,32510,-,Normal
2019-03-01 00:00:00,25.1,31877,-,Normal
2019-03-01 01:00:00,24.9,31244,-,Normal
2019-03-01 02:00:00,24.8,30623,-,Normal
2019-03-01 03:00:00,24.6,30050,-,Normal
2019-03-01 04:00:00,24.5,29456,-,Normal
2019-03-01 05:00:00,24.4,28877,-,Normal
2019-03-01 06:00:00,24.2,28347,-,Normal
2019-03-01 07:00:00,24.1,27829,-,Normal
2019-03-01 08:00:00,24.0,27325,-,Normal
2019-03-01 09:00:00,23.8,26848,-,Normal
2019-03-01 10:00:00,23.7,26379,-,Normal
2019-03-01 11:00:00,23.6,25904,-,Normal
2019-03-01 12:00:00,23.5,25449,-,Normal
2019-03-01 13:00:00,23.3,25019,-,Normal
2019-03-01 14:00:00,23.2,24608,-,Normal
2019-03-01 15:00:00,23.1,24214,-,Normal
2019-03-01 16:00:00,23.0,23834,-,Normal
2019-03-01 17:00:00,22.9,23467,-,Normal
2019-03-01 18:00:00,22.8,23129,-,Normal
2019-03-01 19:00:00,22.7,22806,-,Normal
2019-03-01 20:00:00,22.6,22489,-,Normal
2019-03-01 21:00:00,22.5,22182,-,Normal
2019-03-01 22:00:00,22.4,21888,-,Normal
2019-03-01 23:00:00,22.3,21605,-,Normal
2019-03-02 00:00:00,22.3,21333,-,Normal
2019-03-02 01:00:00,22.2,21066,-,Normal
2019-03-02 02:00:00,22.1,20804,-,Normal
2019-03-02 03:00:00,22.0,20547,-,Normal
2019-03-02 04:00:00,21.9,20295,-,Normal
